FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
10/03/2025; $ 4.100,09 ; $ 71,45 ; $ 7,78 ; $ 31.902,41 ; $ 0,84 
11/03/2025; $ 4.111,83 ; $ 71,04 ; $ 7,74 ; $ 31.810,17 ; $ 0,80 
12/03/2025; $ 4.132,66 ; $ 69,94 ; $ 7,62 ; $ 31.476,26 ; $ 0,68 
13/03/2025; $ 4.147,57 ; $ 69,62 ; $ 7,58 ; $ 31.445,29 ; $ 0,64 
14/03/2025; $ 4.120,98 ; $ 69,16 ; $ 7,53 ; $ 31.037,26 ; $ 0,59 
17/03/2025; $ 4.122,09 ; $ 70,12 ; $ 7,64 ; $ 31.476,56 ; $ 0,70 
18/03/2025; $ 4.093,57 ; $ 69,38 ; $ 7,56 ; $ 30.928,89 ; $ 0,62 
19/03/2025; $ 4.040,60 ; $ 69,28 ; $ 7,54 ; $ 30.484,68 ; $ 0,60 
20/03/2025; $ 4.140,06 ; $ 69,71 ; $ 7,59 ; $ 31.428,93 ; $ 0,65 
21/03/2025; $ 4.176,28 ; $ 68,67 ; $ 7,48 ; $ 31.230,90 ; $ 0,54 
24/03/2025; $ 4.176,28 ; $ 68,95 ; $ 7,51 ; $ 31.358,25 ; $ 0,57 
25/03/2025; $ 4.138,93 ; $ 68,81 ; $ 7,49 ; $ 31.014,70 ; $ 0,55 
26/03/2025; $ 4.151,47 ; $ 70,02 ; $ 7,63 ; $ 31.655,70 ; $ 0,69 
27/03/2025; $ 4.123,86 ; $ 70,74 ; $ 7,70 ; $ 31.768,51 ; $ 0,76 
28/03/2025; $ 4.133,05 ; $ 70,37 ; $ 7,66 ; $ 31.672,77 ; $ 0,72 
31/03/2025; $ 4.153,10 ; $ 71,62 ; $ 7,80 ; $ 32.391,76 ; $ 0,86 
1/04/2025; $ 4.187,45 ; $ 71,87 ; $ 7,83 ; $ 32.773,68 ; $ 0,89 
2/04/2025; $ 4.142,76 ; $ 71,33 ; $ 7,77 ; $ 32.180,28 ; $ 0,83 
3/04/2025; $ 4.142,65 ; $ 73,18 ; $ 7,97 ; $ 33.014,03 ; $ 1,03 
4/04/2025; $ 4.144,75 ; $ 69,93 ; $ 7,62 ; $ 31.563,83 ; $ 0,68 
7/04/2025; $ 4.181,71 ; $ 68,37 ; $ 7,45 ; $ 31.134,89 ; $ 0,51 
8/04/2025; $ 4.363,82 ; $ 68,42 ; $ 7,45 ; $ 32.514,55 ; $ 0,51 
9/04/2025; $ 4.423,48 ; $ 69,95 ; $ 7,62 ; $ 33.696,10 ; $ 0,68 
10/04/2025; $ 4.317,54 ; $ 70,76 ; $ 7,71 ; $ 33.269,94 ; $ 0,77 
11/04/2025; $ 4.370,75 ; $ 71,43 ; $ 7,78 ; $ 33.998,87 ; $ 0,84 
14/04/2025; $ 4.286,43 ; $ 72,45 ; $ 7,89 ; $ 33.819,10 ; $ 0,95 
15/04/2025; $ 4.351,00 ; $ 71,86 ; $ 7,83 ; $ 34.048,99 ; $ 0,89 
