Valor
3806.16
3804.09
3808.77
3808.77
3808.77
3741.27
3716.73
3737.55
3764.77
3764.77
3764.77
3764.77
3719.6
3719.71
3760.93
3760.93
3779.2
3779.2
3779.2
3807.06
3839.47
3872.47
3860.12
3860.12
3860.12
3860.12
3870.42
3885.29
3874.84
3844.2
